k	t
1024																1.00
2048																1.00
4096																1.00
8192																1.00
16384																1.00
32768																1.00
65536																1.00
131072																1.00
262144																1.00
524288																1.00
1048576																1.00
2097152																1.00
4194304																1.00
8388608																1.00
16777216																1.00
1024																1.00
2048																1.00
4096																1.00
8192																1.00
16384																1.00
32768																1.00
65536																1.00
131072																1.00
262144																1.00
524288																1.00
1048576																1.00
2097152																1.00
4194304																1.00
8388608																1.00
16777216																1.00
1024																1.00
2048																1.00
4096																1.00
8192																1.00
16384																1.00
32768																1.00
65536																1.00
131072																1.00
262144																1.00
524288																1.00
1048576																1.00
2097152																1.00
4194304																1.00
8388608																1.00
16777216																1.00
